Station Code,Latitude,Longitude
KPN,12.7470314,78.3330157
MTP,11.2890873,76.9409686
KPQ,11.9690736,75.3208107
TADA,13.589216,80.0283415
MTU,16.033333,77.3
AKOR,17.450755,76.138263
MTY,21.7751821,78.2571256
MUE,19.147994,77.509676
UDN,21.1705123,72.8510335
JOC,23.5170545,86.6811788
UDT,10.5845698,77.2514456
NWP,18.579191,84.283289
KQN,10.2381136,77.4891822
CAN,11.8744775,75.3703662
CAP,19.3512086,84.9869547
SKZR,20.593684,78.96288
SAG,30.2457963,75.8420716
TCR,10.5276416,76.2144349
SAP,16.3944043,80.1512317
DDE,21.3245073,74.5563859
CBF,11.0168445,76.9558321
CBE,11.0168445,76.9558321
KRR,10.9600778,78.0766036
LTT,19.0694741,72.891983
SBC,12.9781289,77.5695678
TDD,16.479932,80.6174393
YNK,13.1049802,77.5917985
HLZ,22.0666742,88.0698118
TUNI,17.355267,82.5429325
WJR,12.9709514,79.3608877
TDO,31.6789749,75.6382657
SBP,21.4668716,83.9811665
BAB,25.2443618,78.4638274
NYP,13.9066043,79.8940483
DEE,28.6628677,77.1853708
KSN,16.8561867,77.4910524
BAM,19.9338332,84.5837506
BAQ,23.8514645,77.926303
WKI,10.6617378,76.2363248
NZB,18.6725047,78.0940867
SCI,23.4873393,77.7418238
TEL,16.2419927,80.6406409
JRC,31.2872267,75.6438909
TEN,8.7139126,77.7566523
KTE,23.8308453,80.4072255
